State,District,Latitude,Longitude,District code,Households_with_Internet,Rural_Households,Urban_Households,Population,Sex Ratio,Literacy Rate
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,27162,665899,228442,2809934,107.0,79.7
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,71621,559293,609824,3301427,109.0,84.37
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,56148,336748,715119,3121200,111.0,85.82
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,4712,266183,11805,817420,103.0,78.98
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,1290,147388,60325,749237,98.0,58.27
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,619,169606,37135,845071,90.0,55.51
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1712,400074,70793,1701698,102.0,67.44
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1158,250358,48912,1385881,98.0,39.68
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,2109,318945,87704,1575362,97.0,59.65
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1166,271211,88385,1703005,84.0,64.29
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,40788,118893,581826,2371061,92.0,70.04
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,986,115979,62861,757847,95.0,53.93
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1880,375869,95048,1762375,88.0,53.51
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,3588,413142,140802,2090922,96.0,61.9
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1432,303387,66514,1264219,91.0,59.14
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,616,160453,43401,786754,87.0,62.46
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,3518,274995,101014,1563715,94.0,59.18
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2388,412348,103364,2185793,96.0,49.29
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,554,218021,9774,704524,100.0,53.75
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,2482,212765,72320,1241519,91.0,52.68
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,15779,172720,272172,2032036,86.0,66.79
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,986,112714,31845,570465,93.0,61.8
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,2871,209650,105746,1241350,91.0,65.3
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,48691,200371,587947,3276697,93.0,70.47
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,20443,272284,352477,2463289,93.0,71.31
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,744,211080,24713,1025048,99.0,34.35
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,2179,276151,72880,1292042,95.0,61.2
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,912,279674,37258,1054905,101.0,57.35
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,2324,302287,81832,1340411,96.0,62.26
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1781,319298,95288,1965970,84.0,60.01
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,1945,174235,67962,826067,95.0,61.6
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,653,256744,32179,1016520,91.0,54.36
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1141,251272,74441,1331597,90.0,61.6
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1611,331894,69823,1545814,96.0,52.03
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,3644,266716,107151,1455069,97.0,56.76
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,3406,523910,94489,2365106,93.0,60.96
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,4546,448408,165507,2378458,89.0,64.99
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,3754,461831,114173,2228935,93.0,61.54
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1566,270427,59220,1311332,92.0,59.51
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1182,335045,47542,1379131,98.0,62.66
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1733,233594,57846,1066063,97.0,56.68
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1382,312611,73997,1512681,94.0,59.14
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,273,150146,26376,687861,90.0,47.69
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1852,367859,66759,1726050,88.0,52.19
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,837,250953,25916,1127033,96.0,53.31
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1090,322772,60220,1445166,90.0,51.75
